element,solver,nx,ny,nz,num_elements,num_dofs,stiffness_nonzeros,assemble[s],factorize[s],solve[s],objective_gradient[s],compliance[J],iterations,levels,operator_complexity,solver_nonzeros
Quad4,ldlt,20.0,10.0,0.0,200.0,462.0,7192.0,1.7573e-05,0.0005158339999999,1.5613e-05,0.000917872,0.060711758676028,0.0,0.0,0.0,10120.0
Quad4,ldlt,40.0,20.0,0.0,800.0,1722.0,28792.0,8.011799999999998e-05,0.002905309,7.1226e-05,0.0030875099999999,0.0631277535286071,0.0,0.0,0.0,60424.0
Quad4,ldlt,80.0,40.0,0.0,3200.0,6642.0,115192.0,0.000289408,0.019556008,0.000440506,0.0181401469999999,0.0653339124789314,0.0,0.0,0.0,348976.0
Quad4,ldlt,120.0,60.0,0.0,7200.0,14762.0,259192.0,0.000991782,0.057352289,0.0015155959999999,0.056333276,0.0665926442272314,0.0,0.0,0.0,866552.0
Quad4,ldlt,160.0,80.0,0.0,12800.0,26082.0,460792.0,0.001938367,0.113675913,0.004089762,0.11115719,0.0674797572528907,0.0,0.0,0.0,1644980.0
Quad4,ldlt,240.0,120.0,0.0,28800.0,58322.0,1036792.0,0.0041876589999999,0.590999555,0.01064733,0.6011621799999999,0.0687256180807547,0.0,0.0,0.0,4630180.0
Quad4,ldlt,320.0,160.0,0.0,51200.0,103362.0,1843192.0,0.0080183319999999,1.560099756,0.0244078099999999,1.677280756,0.0696077611581192,0.0,0.0,0.0,9570076.0
Quad4,ldlt,440.0,220.0,0.0,96800.0,194922.0,3484792.0,0.0145990589999999,3.931748104,0.04540815,3.948318563,0.0705832771189581,0.0,0.0,0.0,19335036.0
Quad4,amg,20.0,10.0,0.0,200.0,462.0,7192.0,3.057e-05,0.0043163769999999,8.6754e-05,0.0041739769999999,0.0607117586760232,1.0,1.0,1.0,193600.0
Quad4,amg,40.0,20.0,0.0,800.0,1722.0,28792.0,8.419699999999998e-05,0.0034966289999999,0.002678077,0.005222352,0.0631277535285553,14.0,2.0,1.2375659905529313,156132.0
Quad4,amg,80.0,40.0,0.0,3200.0,6642.0,115192.0,0.000475214,0.108572493,0.018656602,0.153768277,0.0653339124787244,15.0,2.0,1.2468921452878672,1571316.0
Quad4,amg,160.0,80.0,0.0,12800.0,26082.0,460792.0,0.001890231,0.04819385,0.027583653,0.053724274,0.067479757251805,16.0,3.0,1.2722703519158318,1548348.0
Quad4,amg,320.0,160.0,0.0,51200.0,103362.0,1843192.0,0.009560587,0.1411652599999999,0.0936069419999999,0.1821050559999999,0.0696077611541301,17.0,4.0,1.2787902725272244,5419104.0
Quad4,amg,440.0,220.0,0.0,96800.0,194922.0,3484792.0,0.022544389,0.284376228,0.2872097969999999,0.378306974,0.0705832771045538,17.0,4.0,1.2799334938785445,10399713.0
Quad4,amg,640.0,320.0,0.0,204800.0,411522.0,7372792.0,0.07897513,0.6747747149999999,0.505580955,1.000971894,0.0717302973815429,17.0,4.0,1.2798147567434426,22304496.0
Quad4,amg,1000.0,500.0,0.0,500000.0,1003002.0,17999992.0,0.185989755,1.4937365,1.567374652,2.799965686,0.073095890255489,17.0,5.0,1.2806536247349445,52860423.0
Hex8,ldlt,8.0,4.0,2.0,64.0,405.0,18018.0,5.0803e-05,0.001317402,2.384e-05,0.001473136,0.001515261715204,0.0,0.0,0.0,18351.0
Hex8,ldlt,16.0,8.0,4.0,512.0,2295.0,134550.0,0.0003793639999999,0.029749133,0.0004343999999999,0.0267150529999999,0.0020442832998757,0.0,0.0,0.0,317826.0
Hex8,ldlt,24.0,12.0,6.0,1728.0,6825.0,442890.0,0.0019474469999999,0.3936534489999999,0.003722842,0.445315473,0.0025380763973653,0.0,0.0,0.0,1861470.0
Hex8,ldlt,32.0,16.0,8.0,4096.0,15147.0,1036350.0,0.0055650969999999,2.858980574,0.013687909,2.956474637,0.0030253638525218,0.0,0.0,0.0,6703047.0
Hex8,ldlt,40.0,20.0,10.0,8000.0,28413.0,2008242.0,0.010230381,8.702000468999998,0.0320745689999999,8.937686314,0.003510561743102,0.0,0.0,0.0,15890832.0
Hex8,ldlt,48.0,24.0,12.0,13824.0,47775.0,3451878.0,0.0203226219999999,43.446058186,0.088442698,47.668542078,0.0039948737098969,0.0,0.0,0.0,37675566.0
Hex8,amg,8.0,4.0,2.0,64.0,405.0,18018.0,8.4481e-05,0.0046243079999999,0.000132822,0.004180472,0.001515261715204,1.0,1.0,1.0,129600.0
Hex8,amg,16.0,8.0,4.0,512.0,2295.0,134550.0,0.000949519,0.0188011699999999,0.010132627,0.0202682159999999,0.0020442832998757,14.0,2.0,1.119866220735786,276192.0
Hex8,amg,24.0,12.0,6.0,1728.0,6825.0,442890.0,0.0021892389999999,0.0963244959999999,0.041730107,0.096262339,0.0025380763973657,14.0,2.0,1.1627311522048365,1425024.0
Hex8,amg,32.0,16.0,8.0,4096.0,15147.0,1036350.0,0.004517885,0.282579792,0.107926198,0.319074909,0.0030253638525217,14.0,2.0,1.1206079027355622,3221712.0
Hex8,amg,40.0,20.0,10.0,8000.0,28413.0,2008242.0,0.012621294,0.2258765,0.105686776,0.285172191,0.0035105617431024,15.0,3.0,1.142763670912171,4067280.0
Hex8,amg,48.0,24.0,12.0,13824.0,47775.0,3451878.0,0.024209048,0.4294382629999999,0.2080818319999999,0.449271417,0.0039948737099014,16.0,3.0,1.1619118636290158,7529112.0
Hex8,amg,64.0,32.0,16.0,32768.0,109395.0,8127630.0,0.0665201289999999,1.04369389,0.650103615,1.348324808,0.0049623601334933,16.0,3.0,1.1445026409912853,16618464.0
Hex8,amg,80.0,40.0,20.0,64000.0,209223.0,15810102.0,0.174533864,2.111750302,1.536689586,2.805571348,0.0059291958863591,16.0,3.0,1.1427398760615206,32696784.0
Hex8,amg,96.0,48.0,24.0,110592.0,356475.0,27245790.0,0.2882056769999999,2.704514387,1.903296035,4.281895071,0.0068957533794631,16.0,3.0,1.1567992706396106,59594256.0
Hex8,amg,128.0,64.0,32.0,262144.0,830115.0,64362798.0,0.6907266749999998,8.325773772,4.625267207,12.685125282,0.0088285068670548,17.0,4.0,1.1464592636261712,132958764.0
Hex8,jacobi,8.0,4.0,2.0,64.0,405.0,18018.0,4.6188e-05,2.5278e-05,0.001436779,0.0,0.0015152617152039,120.0,0.0,0.0,0.0
Hex8,jacobi,16.0,8.0,4.0,512.0,2295.0,134550.0,0.001055773,0.000244756,0.01099099,0.0,0.0020442832998758,238.0,0.0,0.0,0.0
Hex8,jacobi,24.0,12.0,6.0,1728.0,6825.0,442890.0,0.003989361,0.0007102509999999,0.045073855,0.0,0.0025380763973657,353.0,0.0,0.0,0.0
Hex8,jacobi,32.0,16.0,8.0,4096.0,15147.0,1036350.0,0.007836904,0.002007528,0.16321916,0.0,0.0030253638525214,469.0,0.0,0.0,0.0
Hex8,jacobi,40.0,20.0,10.0,8000.0,28413.0,2008242.0,0.0112487939999999,0.004358789,0.324387238,0.0,0.0035105617431027,585.0,0.0,0.0,0.0
Hex8,jacobi,48.0,24.0,12.0,13824.0,47775.0,3451878.0,0.0178691789999999,0.0101423339999999,0.7263779639999999,0.0,0.0039948737099013,699.0,0.0,0.0,0.0
Hex8,jacobi,64.0,32.0,16.0,32768.0,109395.0,8127630.0,0.069520865,0.023459804,2.364864384,0.0,0.0049623601334928,926.0,0.0,0.0,0.0
Tet4,ldlt,8.0,4.0,2.0,384.0,405.0,11070.0,9.8256e-05,0.001455623,2.0789e-05,0.001508701,0.0011567263325457,0.0,0.0,0.0,14328.0
Tet4,ldlt,12.0,6.0,3.0,1296.0,1092.0,34650.0,0.000311168,0.00705765,8.373499999999998e-05,0.005569356,0.0014259668531775,0.0,0.0,0.0,77256.0
Tet4,ldlt,16.0,8.0,4.0,3072.0,2295.0,78894.0,0.000829107,0.021722228,0.000331303,0.0241930329999999,0.0016384939605876,0.0,0.0,0.0,273141.0
Tet4,ldlt,24.0,12.0,6.0,10368.0,6825.0,255294.0,0.0033536299999999,0.25491762,0.003532691,0.260404436,0.0020037720817228,0.0,0.0,0.0,1448469.0
Tet4,ldlt,32.0,16.0,8.0,24576.0,15147.0,592110.0,0.008095724,1.890381564,0.012519339,1.821490193,0.0023411410800146,0.0,0.0,0.0,5274945.0
Tet4,ldlt,40.0,20.0,10.0,48000.0,28413.0,1141182.0,0.015301009,6.932573668,0.032647567,7.312500220999999,0.002668863285428,0.0,0.0,0.0,13946922.0
Tet4,amg,8.0,4.0,2.0,384.0,405.0,11070.0,0.000132714,0.0028564939999999,6.5627e-05,0.0023509479999999,0.0011567263325457,1.0,1.0,1.0,129600.0
