variant,size_mm,element_type,num_elements,num_nodes,num_dofs,domain_volume_m3,volume_error,wall_seconds,compliance_vertical_J,max_u_vertical_m,resultant_vertical_N,solver_iterations_vertical,compliance_lateral_J,max_u_lateral_m,resultant_lateral_N,solver_iterations_lateral,linear_solver,rel_diff_vertical_vs_finest_tet10,rel_diff_lateral_vs_finest_tet10
Tet4,8.0,Tet4,6393,1693,5079,0.000468603069524,0.0034745273429,0.189269034001,0.264301511338,2.33454635668e-05,11795.193937,0,0.0754348843527,2.17014159468e-05,4914.66414044,0,auto:SimplicialLDLT,-0.355366110754,-0.379138014146
Tet10 (straight),8.0,Tet10,6393,11015,33045,0.000468603069524,0.0034745273429,1.593806511,0.379813204671,3.33938342278e-05,11795.193937,42,0.11116177414,3.23531015624e-05,4914.66414044,42,auto:AMG-CG(chebyshev),-0.073631996751,-0.0850901352079
Tet10 (curved),8.0,Tet10,6393,11015,33045,0.000466989986357,2.02438056591e-05,1.545055101,0.384998293908,3.33714050474e-05,11997.7601047,41,0.113380612321,3.24877285805e-05,4999.06671028,40,auto:AMG-CG(chebyshev),-0.0609855149981,-0.0668281296194
Tet4,6.0,Tet4,12548,3055,9165,0.000468055288535,0.00230149988157,0.585040901,0.29579093499,2.61144864793e-05,11870.4193942,0,0.0872989142454,2.5105142621e-05,4946.00808093,0,auto:SimplicialLDLT,-0.278563108243,-0.281491875723
Tet10 (straight),6.0,Tet10,12548,20604,61812,0.000468055288535,0.00230149988157,3.903477082,0.398050709729,3.48093433972e-05,11870.4193942,47,0.117069328239,3.3891228419e-05,4946.00808093,47,auto:AMG-CG(chebyshev),-0.0291505491945,-0.0364683894323
Tet10 (curved),6.0,Tet10,12548,20604,61812,0.000466984728073,8.98362710777e-06,3.53090773,0.400593820079,3.47016850581e-05,11999.1134519,47,0.118455077679,3.39479571383e-05,4999.63060496,47,auto:AMG-CG(chebyshev),-0.0229478789676,-0.0250630673915
Tet4,4.0,Tet4,39936,8640,25920,0.000467477924107,0.00106512194444,1.274555174,0.332693883321,2.90526146908e-05,11940.5246795,26,0.0973581349122,2.79176973229e-05,4975.21861646,26,auto:AMG-CG(chebyshev),-0.188556467773,-0.198700104078
Tet10 (straight),4.0,Tet10,39936,61481,184443,0.000467477924107,0.00106512194444,12.954090986,0.40514691245,3.52788923671e-05,11940.5246795,43,0.119528593491,3.44109665645e-05,4975.21861646,43,auto:AMG-CG(chebyshev),-0.0118428435533,-0.0162275642382
Tet10 (curved),4.0,Tet10,39936,61481,184443,0.000466981414036,1.88689171621e-06,12.772843222,0.406011469248,3.52145290757e-05,11999.816059,44,0.120103859595,3.44167599594e-05,4999.92335791,45,auto:AMG-CG(chebyshev),-0.00973418133569,-0.0114928733998
Tet4,3.0,Tet4,86703,17717,53151,0.00046726497608,0.000609111442084,2.78321941,0.354367274128,3.07972244125e-05,11965.942538,25,0.10426170957,2.98725751167e-05,4985.80939083,25,auto:AMG-CG(chebyshev),-0.135694862335,-0.141880674864
Tet10 (straight),3.0,Tet10,86703,129496,388488,0.00046726497608,0.000609111442085,33.448216511,0.409460708925,3.5536266729e-05,11965.942538,42,0.121155203724,3.48075334926e-05,4985.80939083,42,auto:AMG-CG(chebyshev),-0.00132145309679,-0.0028398528616
Tet10 (curved),3.0,Tet10,86703,129496,388488,0.000466980819775,6.14332556381e-07,32.858997285,0.410002508009,3.55030185662e-05,11999.9410235,42,0.121500246546,3.48135892018e-05,4999.97542647,42,auto:AMG-CG(chebyshev),0.0,0.0
Tet4,2.0,Tet4,279539,52972,158916,0.000467102792802,0.000261809431938,10.400123933,0.37969240241,3.28945202448e-05,11985.5765919,26,0.112134536968,3.21255600508e-05,4993.99024662,26,auto:AMG-CG(chebyshev),-0.0739266346102,-0.0770838730351
Tet4,1.5,Tet4,654840,119029,357087,0.00046705088614,0.000150655628899,27.974811113,0.391839162775,3.39295359533e-05,11991.6702288,26,0.115920313358,3.32115490262e-05,4996.52926202,27,auto:AMG-CG(chebyshev),-0.0443005710426,-0.045925282847
